Titre;question;type de réponse;réponse;statut de la réponse
;Pour quelles professions la déclaration aux Centres Régionaux de Pharmacovigilance (CRPV) d’un effet indésirable est obligatoire :;1;Médecin;1
;Pour quelles professions la déclaration aux Centres Régionaux de Pharmacovigilance (CRPV) d’un effet indésirable est obligatoire :;1;Pharmacien;1
;Pour quelles professions la déclaration aux Centres Régionaux de Pharmacovigilance (CRPV) d’un effet indésirable est obligatoire :;1;Sage-femme;1
;Pour quelles professions la déclaration aux Centres Régionaux de Pharmacovigilance (CRPV) d’un effet indésirable est obligatoire :;1;Infirmière;0
;Pour quelles professions la déclaration aux Centres Régionaux de Pharmacovigilance (CRPV) d’un effet indésirable est obligatoire :;1;Chirurgien-dentiste;1
;Quels éléments contient une notification d’effets indésirables ?;1;Un notificateur clairement identifié;1
;Quels éléments contient une notification d’effets indésirables ?;1;Un patient identifiable (initiales ou âge ou sexe…);1
;Quels éléments contient une notification d’effets indésirables ?;1;Le ou les médicaments suspects;1
;Quels éléments contient une notification d’effets indésirables ?;1;Un ou plusieurs effets indésirables;1
;Quelle est la source la plus importante de recueil des effets indésirables en France ?;2;La notification spontanée;1
;Quelle est la source la plus importante de recueil des effets indésirables en France ?;2;Les bases de données;0
;Quelle est la source la plus importante de recueil des effets indésirables en France ?;2;Les études épidémiologiques;0
;Le patient qui identifie un effet indésirable peut-il le notifier à une structure de pharmacovigilance ?;2;Oui;1
;Le patient qui identifie un effet indésirable peut-il le notifier à une structure de pharmacovigilance ?;2;Non;0
;Quelles sources d’informations en plus des notifications spontanées permettent de détecter des cas de pharmacovigilance ?;1;Une étude épidémiologique;1
;Quelles sources d’informations en plus des notifications spontanées permettent de détecter des cas de pharmacovigilance ?;1;Une étude démographique;0
;Quelles sources d’informations en plus des notifications spontanées permettent de détecter des cas de pharmacovigilance ?;1;Une publication;1
;Les pharmaciens ou médecins qui identifient un effet indésirable grave ont l’obligation de faire une déclaration.;2;VRAI;1
;Les pharmaciens ou médecins qui identifient un effet indésirable grave ont l’obligation de faire une déclaration.;2;FAUX;0
;Les CRPV (Centres Régionaux de Pharmacovigilance) recueillent et enregistrent toute notification d'effet indésirable présumé provenant de quelque source que ce soit :;2;VRAI;1
;Les CRPV (Centres Régionaux de Pharmacovigilance) recueillent et enregistrent toute notification d'effet indésirable présumé provenant de quelque source que ce soit :;2;FAUX;0
