Titre;question;type de réponse;réponse;statut de la réponse
;On parle de publicité comparative lorsqu’elle compare 2 médicaments ayant :;1;La même visée thérapeutique (indication);1
;On parle de publicité comparative lorsqu’elle compare 2 médicaments ayant :;1;La même stratégie thérapeutique définie par la Commission de la Transparence;1
;On parle de publicité comparative lorsqu’elle compare 2 médicaments ayant :;1;La même molécule active dans des indications différentes;0
;Pouvez-vous vous servir de la notoriété de votre médicament lors d’une visite pour comparer votre médicament à ses concurrents ? ;2;Oui;0
;Pouvez-vous vous servir de la notoriété de votre médicament lors d’une visite pour comparer votre médicament à ses concurrents ? ;2;Non;1
;La publicité comparative porte sur des médicaments répondant aux mêmes besoins ou ayant la même indication thérapeutique.;2;VRAI;1
;La publicité comparative porte sur des médicaments répondant aux mêmes besoins ou ayant la même indication thérapeutique.;2;FAUX;0
;La publicité comparative ne peut être utilisée que si :;1;Elle n’induit pas en erreur;1
;La publicité comparative ne peut être utilisée que si :;1;Elle est trompeuse;0
;La publicité comparative ne peut être utilisée que si :;1;Elle engendre du discrédit;0
;La publicité comparative ne peut être utilisée que si :;1;Elle compare objectivement ;1
;Pouvez-vous présenter un médicament concurrent (non générique) comme une imitation ?;2;Oui;0
;Pouvez-vous présenter un médicament concurrent (non générique) comme une imitation ?;2;Non;1
;La publicité comparative ne peut pas tirer indûment profit de la notoriété attachée à une marque, à un nom commercial, à d’autres signes distinctifs d’un concurrent.  ;2;VRAI;1
;La publicité comparative ne peut pas tirer indûment profit de la notoriété attachée à une marque, à un nom commercial, à d’autres signes distinctifs d’un concurrent.  ;2;FAUX;0
;Une publicité comparative peut discréditer ou dénigrer la situation d’un concurrent.  ;2;VRAI;0
;Une publicité comparative peut discréditer ou dénigrer la situation d’un concurrent.  ;2;FAUX;0
;La publicité comparative compare objectivement plusieurs caractéristiques essentielles, pertinentes, vérifiables et représentatives des médicaments.;2;VRAI;1
;La publicité comparative compare objectivement plusieurs caractéristiques essentielles, pertinentes, vérifiables et représentatives des médicaments.;2;FAUX;0
