Titre;question;type de réponse;réponse;statut de la réponse
;Lors de vos visites, vous avez l’obligation de présenter les concurrents ayant la même AMM dans l’indication que votre produit.;2;VRAI;0
;Lors de vos visites, vous avez l’obligation de présenter les concurrents ayant la même AMM dans l’indication que votre produit.;2;FAUX;1
;Lors de vos visites vous devez informer le médecin de la place de votre médicament dans la stratégie thérapeutique.;2;VRAI;1
;Lors de vos visites vous devez informer le médecin de la place de votre médicament dans la stratégie thérapeutique.;2;FAUX;0
;Pour assurer une présentation impartiale de votre médicament lors d’une visite, vous devez vous appuyer essentiellement sur :;1;Les avis de la Commission de la Transparence;1
;Pour assurer une présentation impartiale de votre médicament lors d’une visite, vous devez vous appuyer essentiellement sur :;1;Les études cliniques publiées réalisées dans les conditions d’utilisation indiquées dans l’AMM de votre médicament;1
;Pour assurer une présentation impartiale de votre médicament lors d’une visite, vous devez vous appuyer essentiellement sur :;1;Les études cliniques en cours, non encore terminées;0
;Dans votre démarchage chez les professionnels de santé, vous pouvez inciter le prescripteur à s’opposer à la substitution par le pharmacien.;2;VRAI;0
;Dans votre démarchage chez les professionnels de santé, vous pouvez inciter le prescripteur à s’opposer à la substitution par le pharmacien.;2;FAUX;1
;La charte de l’information promotionnelle énonce des règles de déontologie à suivre pour les personnes chargées de la promotion envers :;1;Les patients;1
;La charte de l’information promotionnelle énonce des règles de déontologie à suivre pour les personnes chargées de la promotion envers :;1;Les professionnels de santé;1
;La charte de l’information promotionnelle énonce des règles de déontologie à suivre pour les personnes chargées de la promotion envers :;1;Son entreprise;1
;La charte de l’information promotionnelle énonce des règles de déontologie à suivre pour les personnes chargées de la promotion envers :;1;Les concurrents;1
;La charte de l’information promotionnelle énonce des règles de déontologie à suivre pour les personnes chargées de la promotion envers :;1;L’assurance maladie;1
;;;;1
