Titre;question;type de réponse;réponse;statut de la réponse
;Concernant la nouvelle charte de l’information promotionnelle, quelles sont les affirmations correctes ? ;1;Elle a été signée le 15 octobre 2014;1
;Concernant la nouvelle charte de l’information promotionnelle, quelles sont les affirmations correctes ? ;1;Elle a été signée entre le LEEM et l’ANSM ;0
;Concernant la nouvelle charte de l’information promotionnelle, quelles sont les affirmations correctes ? ;1;Elle a été signée entre le LEEM et le CEPS;1
;Quels sont les objectifs de la charte de l’information promotionnelle ? ;1;Renforcer la qualité de l’information sur les médicaments;1
;Quels sont les objectifs de la charte de l’information promotionnelle ? ;1;Mettre en place un observatoire pour garantir la qualité des pratiques;1
;Quels sont les objectifs de la charte de l’information promotionnelle ? ;1;Renforcer le bon usage du médicament;1
;La charte de l’information promotionnelle intègre les modifications introduites par la loi du 29 décembre 2011 relative au renforcement de la sécurité sanitaire du médicament et des produits de santé.;2;Vrai;1
;La charte de l’information promotionnelle intègre les modifications introduites par la loi du 29 décembre 2011 relative au renforcement de la sécurité sanitaire du médicament et des produits de santé.;2;Faux;0
;Qui a co-signé la charte de l’information promotionnelle ?;1;HAS;0
;Qui a co-signé la charte de l’information promotionnelle ?;1;LEEM;1
;Qui a co-signé la charte de l’information promotionnelle ?;1;ANSM ;0
;Qui a co-signé la charte de l’information promotionnelle ?;1;CEPS;1
;La charte de l’information promotionnelle permet de renforcer la transparence de l’information sur les médicaments.;2;Vrai;1
;La charte de l’information promotionnelle permet de renforcer la transparence de l’information sur les médicaments.;2;Faux;0
;La charte de l’information promotionnelle renforce les règles de déontologie pour l’informateur promotionnel envers : les patients, les entreprises concurrentes et l’Assurance Maladie.;2;Vrai;1
;La charte de l’information promotionnelle renforce les règles de déontologie pour l’informateur promotionnel envers : les patients, les entreprises concurrentes et l’Assurance Maladie.;2;Faux;0
;L’observatoire national de l’information promotionnelle (ONIP) mesure la qualité des pratiques de promotion à partir de critères objectifs, vérifiables et transparents.;2;Vrai;1
;L’observatoire national de l’information promotionnelle (ONIP) mesure la qualité des pratiques de promotion à partir de critères objectifs, vérifiables et transparents.;2;Faux;0
