Titre;question;type de réponse;réponse;statut de la réponse
;Que signifient les initiales de la loi HPST ?;2;Hôpital, praticiens, santé, territoires;0
;Que signifient les initiales de la loi HPST ?;2;Hospitalisation des patients sur le territoire;0
;Que signifient les initiales de la loi HPST ?;2;Hôpital, patients, santé, territoires;1
;La prise en charge d’un patient peut inclure :;1;Les actes diagnostiques;1
;La prise en charge d’un patient peut inclure :;1;Les interventions par des professionnels de santé;1
;La prise en charge d’un patient peut inclure :;1;Les prescriptions;1
;Un plan de santé publique contribue à la mise en œuvre de la stratégie nationale de santé.;2;VRAI;1
;Un plan de santé publique contribue à la mise en œuvre de la stratégie nationale de santé.;2;FAUX;0
;Les 5 actes de télémédecine sont reconnus règlementairement comme des actes médicaux à distance.;2;VRAI;1
;Les 5 actes de télémédecine sont reconnus règlementairement comme des actes médicaux à distance.;2;FAUX;0
;Quelles affirmations sont correctes concernant le dossier médical personnel ?;1;C’est un dossier informatisé et sécurisé;1
;Quelles affirmations sont correctes concernant le dossier médical personnel ?;1;Il est imposé par l’Assurance Maladie;0
;Quelles affirmations sont correctes concernant le dossier médical personnel ?;1;Seuls les professionnels de santé et le patient concerné peuvent le consulter;1
;Quelles affirmations sont correctes concernant le dossier médical personnel ?;1;Il contient aussi bien des analyses de laboratoires que les antécédents médicaux et chirurgicaux;1
;La Protection Universelle MAladie (PUMA) est en application depuis le 1er janvier 2016. Elle remplace la CMU de base. ;2;VRAI;1
;La Protection Universelle MAladie (PUMA) est en application depuis le 1er janvier 2016. Elle remplace la CMU de base. ;2;FAUX;0
;Depuis le nouveau découpage des régions, combien d’ARS compte-t-on en France métropolitaine ?;1;11;0
;Depuis le nouveau découpage des régions, combien d’ARS compte-t-on en France métropolitaine ?;1;13;1
;Depuis le nouveau découpage des régions, combien d’ARS compte-t-on en France métropolitaine ?;1;17;0
;Depuis le nouveau découpage des régions, combien d’ARS compte-t-on en France métropolitaine ?;1;22;0
;Les indicateurs démographiques contribuent-ils aux politiques publiques nationales sociales et sanitaires ?;2;Oui;1
;Les indicateurs démographiques contribuent-ils aux politiques publiques nationales sociales et sanitaires ?;2;Non;0
;Quelles sont les 4 branches du régime général de la sécurité sociale ?;1;CNAMTS;1
;Quelles sont les 4 branches du régime général de la sécurité sociale ?;1;CNAV;1
;Quelles sont les 4 branches du régime général de la sécurité sociale ?;1;RSI;0
;Quelles sont les 4 branches du régime général de la sécurité sociale ?;1;CNAF;1
;Quelles sont les 4 branches du régime général de la sécurité sociale ?;1;ACOSS;1
;Comment se répartissent les dépenses de l’ONDAM fixé par la loi de financement de la sécurité sociale ?;1;Dépenses des hôpitaux;1
;Comment se répartissent les dépenses de l’ONDAM fixé par la loi de financement de la sécurité sociale ?;1;Dépenses des soins de ville;1
;Comment se répartissent les dépenses de l’ONDAM fixé par la loi de financement de la sécurité sociale ?;1;Dépenses humanitaires;0
;Comment se répartissent les dépenses de l’ONDAM fixé par la loi de financement de la sécurité sociale ?;1;Dépenses médico-sociales;1
;Quelles sont les propositions correctes concernant le Système de soins ?;1;Ensemble des actes organisés et réalisés pour la prise en charge d’une maladie;1
;Quelles sont les propositions correctes concernant le Système de soins ?;1;Le système de soins est une composante du système de santé;1
;Quelles sont les propositions correctes concernant le Système de soins ?;1;Ensemble des organisations, des institutions, des ressources et du personnel de santé;0
;Qu’entend-on par action curative ?;1;Action permettant de réduire les conséquences d’un maladie;0
;Qu’entend-on par action curative ?;1;Action permettant de restaurer la santé;1
;Qu’entend-on par action curative ?;1;Action permettant de prévenir l’apparition d’une maladie;0
;Qu’entend-on par action curative ?;1;Action apportant au patient des connaissances pour améliorer sa santé;0
;Le parlement fixe chaque année, les objectifs de dépenses de santé répartis entre les hôpitaux, les soins de ville et le médico-social.;2;VRAI;1
;Le parlement fixe chaque année, les objectifs de dépenses de santé répartis entre les hôpitaux, les soins de ville et le médico-social.;2;FAUX;0
;Quels sont les 3 objectifs principaux de la loi de santé 2016-41 du 26 janvier 2016 dite loi santé ?;1;Renforcer la prévention (luttes et prévention);1
;Quels sont les 3 objectifs principaux de la loi de santé 2016-41 du 26 janvier 2016 dite loi santé ?;1;Garantir l’accès aux soins (lutte contre les déserts médicaux);1
;Quels sont les 3 objectifs principaux de la loi de santé 2016-41 du 26 janvier 2016 dite loi santé ?;1;Développer les droits des patients (droit à l’oubli, renforcement de la transparence des liens…);1
